habilidad,tipo_recurso,titulo,url
Class Central,Índice de Cursos,2D Graphics,https://www.classcentral.com/subject/2d-graphics
Class Central,Índice de Cursos,2D Modeling,https://www.classcentral.com/subject/2d-modeling
Class Central,Índice de Cursos,3D Effects,https://www.classcentral.com/subject/3d-effects
Class Central,Índice de Cursos,3D Graphics,https://www.classcentral.com/subject/3d-graphics
Class Central,Índice de Cursos,3D Lighting,https://www.classcentral.com/subject/3d-lighting
Class Central,Índice de Cursos,3D Mapping,https://www.classcentral.com/subject/3d-mapping
Class Central,Índice de Cursos,3D Reconstruction,https://www.classcentral.com/subject/3d-reconstruction
Class Central,Índice de Cursos,3D Text,https://www.classcentral.com/subject/3d-text
Class Central,Índice de Cursos,3D Tracking,https://www.classcentral.com/subject/3d-tracking
Class Central,Índice de Cursos,3D Transforms,https://www.classcentral.com/subject/3d-transforms
Class Central,Índice de Cursos,3D Visualization,https://www.classcentral.com/subject/3d-visualization
Class Central,Índice de Cursos,6502 Microprocessor,https://www.classcentral.com/subject/6502-microprocessor
Class Central,Índice de Cursos,8-bit Computing,https://www.classcentral.com/subject/8-bit-computing
Class Central,Índice de Cursos,A* Search,https://www.classcentral.com/subject/a-search
Class Central,Índice de Cursos,A* Search Algorithm,https://www.classcentral.com/subject/a-search-algorithm
Class Central,Índice de Cursos,ACPI,https://www.classcentral.com/subject/acpi
Class Central,Índice de Cursos,AES,https://www.classcentral.com/subject/aes
Class Central,Índice de Cursos,AES Encryption,https://www.classcentral.com/subject/aes-encryption
Class Central,Índice de Cursos,AI Agents,https://www.classcentral.com/subject/ai-agents
Class Central,Índice de Cursos,AI Alignment,https://www.classcentral.com/subject/ai-alignment
Class Central,Índice de Cursos,AI Assistants,https://www.classcentral.com/subject/ai-assistants
Class Central,Índice de Cursos,AI Bias,https://www.classcentral.com/subject/ai-bias
Class Central,Índice de Cursos,AI Chatbots,https://www.classcentral.com/subject/ai-chatbots
Class Central,Índice de Cursos,AI Engineering,https://www.classcentral.com/subject/ai-engineering
Class Central,Índice de Cursos,AI Ethics,https://www.classcentral.com/subject/ai-ethics
Class Central,Índice de Cursos,AI Governance,https://www.classcentral.com/subject/ai-governance
