habilidad_general,url
Estadística y Probabilidad,https://www.coursera.org/specializations/advanced-statistics-data-science
Matemáticas,https://www.coursera.org/specializations/algebra-elementary-to-advanced
Matemáticas,https://www.coursera.org/learn/algebra-and-differential-calculus-for-data-science
Matemáticas,https://www.coursera.org/learn/essential-linear-algebra-for-data-science
Matemáticas,https://www.coursera.org/learn/logic-introduction
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-imits-derivatives
Matemáticas,https://www.coursera.org/learn/introduction-to-calculus
Matemáticas,https://www.coursera.org/specializations/differential-calculus-data-modeling
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-differentiation-rules
Matemáticas,https://www.coursera.org/specializations/integral-calculus-data-modeling
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-series-and-integrals
"Filosofía, Machine Learning / IA",https://www.coursera.org/mastertrack/introduccion-inteligencia-artificial-uniandes
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-vector-calculus
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-techniques-of-integration
Matemáticas,https://www.coursera.org/learn/calculus-through-data-and-modelling-applying-differentiation
Matemáticas,https://www.coursera.org/learn/vector-calculus-engineers
Matemáticas,https://www.coursera.org/learn/integral-calculus-and-numerical-analysis-for-data-science
"Machine Learning / IA, Matemáticas",https://www.coursera.org/learn/math-for-ai-beginner-part-1-linear-algebra
Python,https://www.coursera.org/learn/python-project-for-data-science
Bases de Datos,https://www.coursera.org/learn/sql-for-data-science
Python,https://www.coursera.org/learn/python-data-analysis
Estadística y Probabilidad,https://www.coursera.org/learn/machine-learning-probability-and-statistics
Programación General,https://www.coursera.org/learn/r-programming
Ciencia de Datos,https://www.coursera.org/learn/google-advanced-data-analytics-capstone
Machine Learning / IA,https://www.coursera.org/learn/ai-for-everyone
Machine Learning / IA,https://www.coursera.org/learn/introduction-to-ai
Matemáticas,https://www.coursera.org/learn/machine-learning-calculus
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-elevate-your-data-science-career
Python,https://www.coursera.org/learn/python-genomics
Matemáticas,https://www.coursera.org/learn/machine-learning-linear-algebra
Python,https://www.coursera.org/learn/data-analysis-python
Python,https://www.coursera.org/learn/python-packages-data-science
Estadística y Probabilidad,https://www.coursera.org/learn/statistical-genomics
Programación General,https://www.coursera.org/learn/advanced-learning-algorithms
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-with-llms
Filosofía,https://www.coursera.org/learn/big-data-ai-ethics
Bases de Datos,https://www.coursera.org/learn/sql-data-science-capstone
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-for-everyone
Filosofía,https://www.coursera.org/learn/philosophy-of-science
Cloud Computing,https://www.coursera.org/learn/getting-started-data-analytics-aws
