puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
"Analista de inteligencia comercial / modalidad presencial / power bi, excel y sql / San Isidro",Manpower,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-inteligencia-comercial-modalidad-presencial-power-bi-excel-y-sql-san-isidro-rubro-tecnologia-en-san-isidro-7EA67FE9624934F861373E686DCF3405#lc=ListOffers-Score4-0
"Analista de inteligencia comercial / modalidad presencial / power bi, excel y sql / San Isidro",Manpower,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-inteligencia-comercial-modalidad-presencial-power-bi-excel-y-sql-san-isidro-rubro-telefonia-en-san-isidro-197CD6DC7E5E4AE561373E686DCF3405#lc=ListOffers-Score4-1
Practicante de Administración de base de datos/ Dominio de SQL Intermedio,Biznes Sac,pe,"San Borja, Lima",sql,NA,"S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-administracion-de-base-de-datos-dominio-de-sql-intermedio-ingreso-inmediato-la-victoria-en-san-borja-77535E3ACE7ACDC561373E686DCF3405#lc=ListOffers-Score4-2
Asistente de Sistemas (Conoc. SQL) Programador SAP BO,GRUPO METALINDUSTRIAS,pe,"Callao, Callao",sql,NA,"S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-sistemas-conoc-sql-programador-sap-bo-planilla-completa-alimentacion-cubierta-en-callao-76E0C5E10F10ABA761373E686DCF3405#lc=ListOffers-Score4-3
Analista de Soporte de Aplicaciones y BD,Consulting Advisers,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-de-aplicaciones-y-bd-en-san-isidro-B2B038539FEB110161373E686DCF3405#lc=ListOffers-Score4-4
Analista de datos/Trade MKT(Canal Moderno)/Power BI/Excel/SQL,Overall Strategy,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datostrade-mktcanal-modernopower-biexcelsql-en-lima-0687CE9C311BD70061373E686DCF3405#lc=ListOffers-Score4-5
Analista de Soporte de Aplicaciones y BD,Consulting Advisers,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-de-aplicaciones-y-bd-en-san-isidro-4856A8CB5908659761373E686DCF3405#lc=ListOffers-Score4-6
Asistente BI – SQL Avanzado(automatización datos),Panorama Bpo,pe,"Chorrillos, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-bi-sql-avanzadoautomatizacion-datos-en-chorrillos-BBB60B7466B0973C61373E686DCF3405#lc=ListOffers-Score4-7
Work From Home SQL Engineer / Ref. 0090,BairesDev LLC,pe,"Trujillo, La Libertad",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-sql-engineer-ref-0090-en-trujillo-24ADF5865866969561373E686DCF3405#lc=ListOffers-Score4-8
Work From Home SQL Developer / Ref. 0401,BairesDev LLC,pe,"Chachapoyas, Amazonas",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-sql-developer-ref-0401-en-chachapoyas-1EF39FB229357F6061373E686DCF3405#lc=ListOffers-Score4-9
