puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
"Practicante Profesional de Ingeniería de Sistemas/Informática, Ingeneieria Industrial",NA,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-ingenieria-de-sistemasinformatica-ingeneieria-industrial-lambayeque-en-trujillo-6D02E2463F8BA16F61373E686DCF3405#lc=ListOffers-Score4-0
Analista de TI,ACS SOLUTIONS PERU S.A.,Perú,"San Isidro, Lima",NA,"S/. 2.500,00 (Mensual)","S/. 2.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-ti-informatica-telecomunicaciones-en-san-isidro-743E1336D5B12A4461373E686DCF3405#lc=ListOffers-Score4-1
Tecnico Soporte Informatico,NA,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-soporte-informatico-remoto-presencial-en-callao-05C17983B25AAEF361373E686DCF3405#lc=ListOffers-Score4-2
Supervisor Informático,Consutic,Perú,"Bellavista, Callao",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-informatico-en-bellavista-AFE8A04C8F20FEFD61373E686DCF3405#lc=ListOffers-Score4-3
Soporte tecnico junior / Ing. sistemas /  telecomunicaciones / electrónica / informática o afines,MARBATT BPO,Perú,"Paucarpata, Arequipa",NA,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-junior-ing-sistemas--telecomunicaciones-electronica-informatica-o-afines-en-paucarpata-F3A2EC2E8606EB7F61373E686DCF3405#lc=ListOffers-Score4-4
Analista BI/ ing sistemas/ telecomunicaciones / electrónica / informática o afines,MARBATT BPO,Perú,"Paucarpata, Arequipa",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-bi-ing-sistemas-telecomunicaciones-electronica-informatica-o-afines-en-paucarpata-04184A745FBD9AD261373E686DCF3405#lc=ListOffers-Score4-5
Soporte Tecnico Informatico con experiencia en Mantenimiento de Equipos Informaticos,Centro Nacional de Servicios - CNS,Perú,"Punta Hermosa, Lima",NA,"S/. 1.600,00 (Mensual)","S/. 1.600,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-informatico-con-experiencia-en-mantenimiento-de-equipos-informaticos-disponible-para-labora-en-punta-hermosa-en-punta-hermosa-508E74422416EEF561373E686DCF3405#lc=ListOffers-Score4-6
Junior en Computación e informática,Grupo GDP,Perú,"Barranco, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-junior-en-computacion-e-informatica-computacion-informatica-en-barranco-58EA241C66D42D6B61373E686DCF3405#lc=ListOffers-Score4-7
Docente a tiempo completo para el programa de estudio de Ingeniería de Sistemas e Informática,Universidad de Ciencias y Humanidades,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-a-tiempo-completo-para-el-programa-de-estudio-de-ingenieria-de-sistemas-e-informatica-en-los-olivos-4E039C91D3DDBBF261373E686DCF3405#lc=ListOffers-Score4-8
Asesor Comercial o Ejecutivo de Ventas,Pos Solutions S.A.C.,Perú,"Jesus Maria, Lima",NA,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-con-experiencia-en-el-rubro-informatico-en-jesus-maria-27F788B04580413361373E686DCF3405#lc=ListOffers-Score4-9
Analista de Soporte a Usuarios,Sigcomt SAC,Perú,"San Isidro, Lima",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-a-usuarios-informatico-help-desk-y-soporte-en-san-isidro-55B0BD5EF28AD85B61373E686DCF3405#lc=ListOffers-Score4-10
Almacenero para productos informáticos,UPGRADE,Perú,"Arequipa, Arequipa",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenero-para-productos-informaticos-experiencia-comprobada-y-licencia-de-conducir-en-arequipa-AD01A0892F796CEE61373E686DCF3405#lc=ListOffers-Score4-11
Analista de Seguridad Informática y Ciberseguridad,Caja Maynas,Perú,"Iquitos, Loreto",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-seguridad-informatica-y-ciberseguridad-oficina-principal-iquitos-en-iquitos-A1FE4DED243955DC61373E686DCF3405#lc=ListOffers-Score4-12
Analista de Eventos de Seguridad Informática,SISTEMAS TECNOLOGICOS INTEGRALES CORPORATIVOS S.A.C.,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-eventos-de-seguridad-informatica-en-lima-7B5471D4A7741DAE61373E686DCF3405#lc=ListOffers-Score4-13
Practicante de Machine Learning,Creditex S.A.A.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-machine-learning-practicante-profesional-de-informatica-en-ate-590A04BEAAC6652361373E686DCF3405#lc=ListOffers-Score4-14
Tecnico en informatica,Solver,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-informatica-o-similar-con-experiencia-en-soporte-it-en-san-isidro-1533567B1F73386C61373E686DCF3405#lc=ListOffers-Score4-15
docente,NA,Perú,"Socabaya, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-computo-e-informatica-en-socabaya-366930D87481C20561373E686DCF3405#lc=ListOffers-Score4-16
Especialista de Seguridad Informática,Financiera Confianza,Perú,"San Isidro, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-seguridad-informatica-en-san-isidro-F18588E21AC0D8D761373E686DCF3405#lc=ListOffers-Score4-17
Diseñadora Informatica,NA,Perú,"San Isidro, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-informatica-diseno-web-responsive-en-san-isidro-3F0E7D8EAC405FA561373E686DCF3405#lc=ListOffers-Score4-18
Soporte Tecnico Informático para PUNO,Centro Nacional de Servicios - CNS,Perú,"Puno, Puno",NA,"S/. 1.400,00 (Mensual) + Comisiones","S/. 1.400,00 (Mensual) + Comisiones",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-informatico-para-puno-con-experiencia-en-reparacion-de-impresoras-en-puno-404B2E0BD173475D61373E686DCF3405#lc=ListOffers-Score4-19
Desarrollador Informatico,NA,Perú,"San Isidro, Lima",Presencial y remoto,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-informatico-nodejs-y-angular-en-san-isidro-566122E2C05139CF61373E686DCF3405#lc=ListOffers-Score4-0
Docente de Pregrado de Prácticas Pre Profesional I y II para Ingeniería de Sistemas e Informática,Universidad de Ciencias y Humanidades,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-pregrado-de-practicas-pre-profesional-i-y-ii-para-ingenieria-de-sistemas-e-informatica-en-los-olivos-F4D1D7A9551F18B261373E686DCF3405#lc=ListOffers-Score4-1
Técnico Informático,NA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-en-lima-AC15962B6750A68661373E686DCF3405#lc=ListOffers-Score4-2
"Estudiantes de Administración, informática, sistemas para “Atención y soporte al estudiante”",ESCUELA EMPRESARIAL DEL PERU - ESEP,Perú,"San Miguel, Lima",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-de-administracion-informatica-sistemas-para-atencion-y-soporte-al-estudiante-turnos-mt-en-san-miguel-75575E68F492CFC961373E686DCF3405#lc=ListOffers-Score4-3
Técnico Informático Ti En Seguridad Privada,Casevip,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-ti-en-seguridad-privada-en-santiago-de-surco-04C3A2B4E1B0B51261373E686DCF3405#lc=ListOffers-Score4-4
