puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Ingeniero electrónico o mecatrónico,EMPLEA,Perú,"Lurigancho, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electronico-o-mecatronico-en-lurigancho-C0211986FF8AB43E61373E686DCF3405#lc=ListOffers-Score0-12
Ingeniero de Costos y Presupuesto Sanitario,Natural Gas Company S.A.C.,Perú,"San Borja, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuesto-sanitario-ingenieria-en-san-borja-F2890D7468FAAAB261373E686DCF3405#lc=ListOffers-Score3-1
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score0-6
"Ingeniero en Administración de Data Center y Redes, Titulado y colegiado",Consutic,Perú,"Jesus Maria, Lima",3200.0,3200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-administracion-de-data-center-y-redes-titulado-y-colegiado-en-jesus-maria-C482A695FCE39C7C61373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero,TRANSPORTES & SERVICIOS TECRIS E.I.R.L. - TRANSERVIS TECRIS E.I.R.L.,Perú,"Moquegua, Moquegua",2200.0,2200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-ssoma-y-de-operaciones-en-moquegua-848DA6E0776D455A61373E686DCF3405#lc=ListOffers-Score3-9
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-10
ingeniero mecatrónico,COMPAÑIA MINERA QUECHUA S.A.,Perú,"San Isidro, Lima",11000.0,11000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-20x10-regimen-laboral-en-san-isidro-BB644823960D6C8E61373E686DCF3405#lc=ListOffers-Score3-15
Ingeniero civil,Haug S.A.,Perú,"Lurin, Lima",5000.0,5000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-civil-juliaca-cusco-en-lurin-5924A82D3DBE067761373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero Industrial,CONTADORES Y AUDITORES AREQUIPA EIRL,Perú,"Arequipa, Arequipa",1200.0,1200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-industrial-con-experiencia-en-arequipa-7F8A3999C31C716F61373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero de Calidad,Bectek,Perú,"Chicama, La Libertad",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-calidad-en-chicama-FDC1DD7941CC668461373E686DCF3405#lc=ListOffers-Score3-8
Ingeniero mecatrónico y/o Electrónico,Ceneris EIRL,Perú,"Arequipa, Arequipa",2500.0,2500.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-yo-electronico-telemetria-en-arequipa-61BC73363C94736B61373E686DCF3405#lc=ListOffers-Score0-3
Ingeniero electrónico o mecatrónico,EMPLEA,Perú,"Lurigancho, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electronico-o-mecatronico-en-lurigancho-C0211986FF8AB43E61373E686DCF3405#lc=ListOffers-Score3-1
Ingeniero DevOps,Crazy Llama,Perú,"Miraflores, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-presencial-en-miraflores-F1F70FCE3B202F7761373E686DCF3405#lc=ListOffers-Score3-5
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score0-0
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero y/o Técnico instrumentista,,Perú,"Chorrillos, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-yo-tecnico-instrumentista-automatizacion-en-chorrillos-E501214677F57EAD61373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero de Calidad,Bectek,Perú,"Chicama, La Libertad",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-calidad-en-chicama-FDC1DD7941CC668461373E686DCF3405#lc=ListOffers-Score3-7
Ingeniero de Costos y Presupuestos Eléctricos,P.A. PERU S.A.C.,Perú,"Magdalena Del Mar, Lima",6000.0,6000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuestos-electricos-en-magdalena-del-mar-09B45C7AF485C92D61373E686DCF3405#lc=ListOffers-Score3-15
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score3-2
Tecnico o Ingeniero Electronico,INNOVA LASER PERÚ,Perú,"Bellavista, Callao",1400.0,1400.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-ingeniero-electronico-estudios-completos-o-en-los-ultimos-ciclos-en-bellavista-BDC6D98D78E968C361373E686DCF3405#lc=ListOffers-Score0-9
Ingeniero de Servicios Pleno,Electro Industrial Solutions S.A.,Perú,"Los Olivos, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-servicios-pleno-automatizacion-en-los-olivos-9A6DBFE6CCA6FEF661373E686DCF3405#lc=ListOffers-Score3-18
ingeniero mecatrónico,COMPAÑIA MINERA QUECHUA S.A.,Perú,"San Isidro, Lima",11000.0,11000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-20x10-regimen-laboral-en-san-isidro-BB644823960D6C8E61373E686DCF3405#lc=ListOffers-Score3-3
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero electricista,Bitel,Perú,"Lima, Lima",1200.0,1200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electricista-en-lima-BCB510C91F51031461373E686DCF3405#lc=ListOffers-Score3-8
"Ingeniero en Administración de Data Center y Redes, Titulado y colegiado",Consutic,Perú,"Jesus Maria, Lima",3200.0,3200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-administracion-de-data-center-y-redes-titulado-y-colegiado-en-jesus-maria-C482A695FCE39C7C61373E686DCF3405#lc=ListOffers-Score4-2
Ingeniero DevOps,Crazy Llama,Perú,"Miraflores, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-presencial-en-miraflores-F1F70FCE3B202F7761373E686DCF3405#lc=ListOffers-Score3-11
ingeniero residente,CIMA CONSTRUCTORES SRL,Perú,"Tacna, Tacna",8000.0,8000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-residente-ingeniero-civil-colegiado-en-tacna-53A32422489A93EB61373E686DCF3405#lc=ListOffers-Score3-17
Tecnico o Ingeniero Electronico,INNOVA LASER PERÚ,Perú,"Bellavista, Callao",1400.0,1400.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-ingeniero-electronico-estudios-completos-o-en-los-ultimos-ciclos-en-bellavista-BDC6D98D78E968C361373E686DCF3405#lc=ListOffers-Score0-8
Ingeniero de Costos y Presupuesto Electrico,Natural Gas Company S.A.C.,Perú,"San Borja, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuesto-electrico-ingenieria-en-san-borja-1E82DB73B4C6048461373E686DCF3405#lc=ListOffers-Score3-5
Ingeniero mecatrónico y/o Electrónico,Ceneris EIRL,Perú,"Arequipa, Arequipa",2500.0,2500.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-yo-electronico-telemetria-en-arequipa-61BC73363C94736B61373E686DCF3405#lc=ListOffers-Score0-1
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-4
Ingeniero sistemas,ART M&R S.A.C.,Perú,"San Juan De Miraflores, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-sistemas-con-experiencia-minima-de-1-ano-en-san-juan-de-miraflores-E12DE250BE3D796261373E686DCF3405#lc=ListOffers-Score3-1
