cluster,titulo_puesto,nombre_empresa,ubicacion,modalidad,salario
0,Practicante de Marketing Digital,CENTROMEDIC,,,
0,Analista de TI / Transformación digital,ALMACENES SANTA CLARA,,,
0,Ingeniero de Desarrollo Digital Junior,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,UPN: Asesor Digital de Contacto Temporal / SJL,Laureate,,,
0,Analista de Marketing Digital,MAQUITOP S.A.C.,,,"S/. 2.000,00 (Mensual)"
0,Asistente de Marketing Digital (Performance),RETABET PERÚ SAC,,Presencial y remoto,
0,Analista de Marketing Digital,LOPEZ CONCHA MIRIAN SILVANA,,,
0,Analista de TI / Transformación digital,ALMACENES SANTA CLARA,,,
0,Asistente de Marketing Digital,CREACIONES TEXTILES AYM S.A.C.,,,"S/. 1.500,00 (Mensual)"
0,Trafficker Digital / Especialista en Marketing Digital y CRM,Total Talent Human Resources,,,"S/. 1.800,00 (Mensual)"
0,Analista digital,,,,
0,Asistente de marketing digital,SKY ANDAMIOS & ELEVADORES,,,"S/. 1.500,00 (Mensual)"
0,Especialista en marketing digital y audiovisual,GRUPO ECOLIMP E.I.R.L,,,
0,Practicante de Marketing Digital,GRUPO WAYKA S.A.C.,,,
0,Asesor de Canal Digital,,,Presencial y remoto,
0,Supervisor de estrategia digital y contenido / Marketing,Cafeladerías 4D,,,
0,Analista de estrategia digital y contenido / Marketing,Cafeladerías 4D,,,
0,Analista de Transformación Digital / TI,ALMACENES SANTA CLARA,,,
0,Planner de Marketing Digital,,,,
0,Especialista de Transformación Digital,Caja Cencosud Del Grupo Scotiabank,,Presencial y remoto,
0,Analista de Marketing Digital,Grupo San Pablo,,,
0,Encargada de ecommerce y marketing digital,VOX MEDIA,,,"S/. 1.300,00 (Mensual)"
0,Asesor de Canal Digital,,,Presencial y remoto,
0,Practicante de Innovación y Transformación Digital,TRANSYT,,,
0,Líder en Marketing Digital,REGENERA SKIN SOCIEDAD ANONIMA CERRADA,,,"S/. 2.900,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Asesor Comercial / Fijo / Digital,,,,"S/. 1.000,00 (Mensual)"
0,Analista de Transformación Digital / TI,ALMACENES SANTA CLARA,,,
0,Coordinador de Marketing Digital and Ecommerce,RTS Automation S.A.C.,,,
0,Asistente de Contenido Digital,FIRSTMED PHARMA PERU SAC,,,
0,Asistente de Marketing digital,GEOMEDIC PERU E.I.R.L,,,
0,Ingeniero de Desarrollo Digital Junior,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Jefe de transformación digital,,,,
0,Especialista en Analítica Digital,,,,
0,Analista de Contenido Digital,FIRSTMED PHARMA PERU SAC,,,
0,BCP / Asistente de Negocios BEX Digital / Banca Exclusiva / Arequipa,Adecco Perú S.A.,,,
0,Practicante de Marketing digital,Elahia Joyeria,,Presencial y remoto,"S/. 1.130,00 (Mensual)"
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Tecnico en Marketing Digital,Policlinico Solidario de Chincha,,Presencial y remoto,
0,Postula ya! Ejecutiva de Ventas para Agencia de Marketing Digital,APRENDELO PE AGENCIA & CURSOS,,Presencial y remoto,"S/. 1.200,00 (Mensual) + Comisiones"
0,Especialista en Analítica Digital,,,,
0,Ingeniero de Desarrollo Digital Junior,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
0,Tizador Textil Digital,CORPORACIONES WAYI S.A.C.,,,
0,Especialista de Marketing Digital (Analítica de Datos),,,Presencial y remoto,
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Especialista Marketing Digital y Publicidad,Check Point Advertainment,,,
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Especialista Marketing Digital y Publicidad,Check Point Advertainment,,,
0,Asesor de ventas digital,MOTO GALERIA DEL PERU,,,
0,Ingeniero de Desarrollo Digital Junior,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
0,Asistente de Marketing Digital (Performance),RETABET PERÚ SAC,,Presencial y remoto,
0,UPN: Asesor Digital de Contacto (SJL),Laureate,,,
0,Practicante Pre Profesional de Digital,PANORAMA HOGAR & DECORACION,,Presencial y remoto,
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Especialista de Marketing Digital (Analítica de Datos),,,Presencial y remoto,
0,Promotores de campo para billetera digital,LUCKY SAC,,,"S/. 2.000,00 (Mensual)"
0,Encargada de ecommerce y marketing digital,VOX MEDIA,,,"S/. 1.300,00 (Mensual)"
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Patronista Digital,CORPORACIONES WAYI S.A.C.,,,"S/. 3.000,00 (Mensual)"
0,Tizador Textil Digital,CORPORACIONES WAYI S.A.C.,,,
0,Analista de Marketing Digital,HARLEY INTERNACIONAL CORP. S.A.C.,,,
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Asistente de Marketing Digital / Salario de S/. 3000,BSG Institute,,,"S/. 3.000,00 (Mensual)"
0,Analista de Marketing Digital,OFFICE PAPER,,,
0,Asistente de Marketing Digital,LIMA27,,,
0,Analista Digital,EXE SAC,,,
0,Practicante de Marketing Digital / S/. 1300 mensuales,BSG Institute,,,"S/. 1.300,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,ejecutivo/a,Maya Digital Technologies,,,"S/. 1.500,00 (Mensual) + Comisiones"
1,Ejecutivo(a) de Telemarketing Escuela Zegel,inLearning Escuelas de Educación Superior,,,"S/. 1.130,00 (Mensual)"
1,"Ejecutivo Comercial / Sueldo fijo + comisiones promedio S/. 4,500 (Iquitos)",Automatizate Negocios,,,
1,"Ejecutivo Comercial / Sueldo fijo + comisiones promedio S/. 4,500 / Tarapoto",Automatizate Negocios,,,
1,Ejecutivo(a) de Ventas – Software y Soluciones Tecnológicas,EXCELSIUS,,Presencial y remoto,
1,Banco Falabella/ Ejecutivo Comercial Piura Irazola/Sector Financiero,FALABELLA CORPORATIVO PERÚ,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo/a de Captación de Depósitos Mibanco Huaraz,Mibanco - Banco de la Microempresa,,,
1,Ejecutivo(a) de Admisión Ambulatoria / Auna Miraflores,Grupo AUNA,,,"S/. 1.500,00 (Mensual)"
1,Ejecutivo(a) Comercial,CLINICA RICARDO PALMA SA,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Asesor Comercial o Ejecutivo de Ventas,Pos Solutions S.A.C.,,,"S/. 1.500,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Practicante o Ejecutivo(a) Comercial – Ventas de Máquinas CNC y Repuestos,,,,"S/. 1.130,00 (Mensual)"
1,Agencia de Carga Internacional requiere Ejecutivo de Cuentas Importación,,,,
1,Ejecutivo comercial,Inti Raymi S.A.,,,"S/. 1.800,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,"Ejecutivo Comercial / Sueldo fijo + comisiones promedio S/. 4,500 (Cajamarca)",Automatizate Negocios,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo(a) de Admisión de Emergencia / Cercado de Lima,Clinica Internacional SA,,,
1,Ejecutivo de Service Desk Mesa de Ayuda,Centro Nacional de Servicios - CNS,,,"S/. 1.700,00 (Mensual)"
1,Ejecutivo de Service Desk con experiencia en software Aranda,Centro Nacional de Servicios - CNS,,Presencial y remoto,"S/. 1.699,00 (Mensual)"
1,Ejecutivo(a) de Ventas,J & R TECHNOLOGY SOLUTIONS S.A.C.,,,"S/. 2.500,00 (Mensual)"
1,Ejecutivo de cuentas corporativas B2B,Bitel,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de ventas Software,INSIGHT CONSULTORIA CLINICA Y ORGANIZACIONAL,,Presencial y remoto,"S/. 2.000,00 (Mensual)"
1,Ejecutivo comercial,BIOPAKING,,Presencial y remoto,"S/. 2.500,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,"Ejecutivo Comercial / Sueldo fijo + comisiones promedio S/. 4,500 (Pucallpa)",Automatizate Negocios,,,
1,Ejecutivo de Ventas / Asia /Contamos con movilidad,Los Portales,,,
1,Ejecutivo de Ventas / Lima Sur,Los Portales,,,
1,Ejecutivo de Ventas / Chincha,Los Portales,,,
1,Ejecutivo Comercial de Energía Renovable,ESE PERU S.A.C.,,,"S/. 5.000,00 (Mensual)"
1,Ejecutivo de Cobranza,Grupo EFE,,,
1,ejecutivo/a comercial,REL ENGLISH S.A.C.,,,"S/. 3.000,00 (Mensual)"
1,Banco Falabella/ Ejecutivo Comercial La Marina/Sector Financiero,FALABELLA CORPORATIVO PERÚ,,,
1,Ejecutivo / Secretario de Biblioteca  (Temporal),ICPNA,,,
1,Ejecutivo comercial,GRUPO ECOLIMP E.I.R.L,,,"S/. 5.000,00 (Mensual) + Comisiones"
1,Ejecutivo de ventas Software,INSIGHT CONSULTORIA CLINICA Y ORGANIZACIONAL,,Presencial y remoto,"S/. 2.000,00 (Mensual)"
1,Ejecutivo de Cuentas Corporativas,Hoteles Estelar del Perú,,,"S/. 3.900,00 (Mensual)"
1,Ejecutivo Comercial de Productos Financieros (Piura),Sef Peru Holding SAC,,,
1,Ejecutivo Comercial de Productos Financieros (Piura),Sef Peru Holding SAC,,,
1,Ejecutivo de Ventas Chincha Baja,DC Grupo Inmobiliario,,,
1,Ejecutivo Comercial,KasNet,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo Comercial,ABIMSA PROVEEDORES INDUSTRIALES S.A.C.,,Presencial y remoto,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Banca Negocio PYME Trujillo,TRUST CONSULTING,,,
1,Ejecutivo De Pricing Para Agencia De Carga,T.G.A. INTEGRAL CARGO SOLUTION E.I.R.L.,,,
1,ejecutivo/a comercial,Provision 2000 sac,,,
1,Ejecutivo de Ventas B2B,Corporacion New Age,,,
1,Ejecutivo bancario,Sef Peru Holding SAC,,,"S/. 1.000,00 (Mensual)"
1,Ejecutivo de Ventas / Lima Sur /Contamos con movilidad,Los Portales,,,
1,Ejecutivo Plataformista con experiencia en Banco para la sede de Trujillo,Adecco Perú S.A.,,,
1,Ejecutivo Técnico Comercial Riego (Chiclayo),Grupo Proterra SAC,,,
1,Ejecutivo Comercial de Productos Financieros Cusco,Sef Peru Holding SAC,,,
1,Ejecutivo Comercial B2B (AUNA)  Hibrido Ventas Corporativas Planilla Directa /  comisiones sin tope,Grupo AUNA,,Presencial y remoto,
1,Ejecutivo de Fidelización de Clientes,Verisure Peru SAC,,,
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas gana más de S/.4500 / Sueldo Fijo + Comisiones + Movilidad,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo Comercial  Prosegur Alarmas,YT GROUP,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
1,Ejecutivo de Ventas  (José Leonardo Ortiz),Los Portales,,,
1,Ejecutivo de Ventas (Barranca),Los Portales,,,
1,Representante de Marca / Ejecutivo Comercial – Gospower (Energía Solar),CORPORACION COMERCIAL Y SERVICIOS OCOSHI S.A.C.,,,"S/. 3.000,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas,Increxa,,,"S/. 1.200,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas,Increxa,,,
1,Ejecutivo de Ventas digital (Internet fibra óptica),Giga Fibra SAC,,,
1,Ejecutivo de cuenta,TOUCH DATA S.A.C.,,Presencial y remoto,"S/. 1.500,00 (Mensual) + Comisiones"
1,Ejecutivo de Central de Emergencia,,,,
1,Seguros Falabella/  Ejecutivo ATC PostVenta Callcenter,FALABELLA CORPORATIVO PERÚ,,,
1,Ejecutivo Plataformista con experiencia en Banco para la sede de Trujillo,Adecco Perú S.A.,,,
1,Ejecutivo de Ventas Banco BBVA Chincha,Sef Peru Holding SAC,,,
1,Ejecutivo de Ventas Banco BBVA Pisco,Sef Peru Holding SAC,,,
1,Ejecutivo de Ventas en Planilla Chiclayo  / Win Internet  / Sueldo + Comisiones + Movilidad + Bonos.,GRUPO BLMG SAC,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo comercial,MOTORLINK S.A.C.,,,
1,Ejecutivo de Cuentas Clave Arequipa,Alimentos de Exportacion SAC,,,
1,Ejecutivo/a de Retención y Ventas,Adecco Perú S.A.,,,
1,Ejecutivo comercial /  Ventas corporativas / Eureka Park,,,,
1,Ejecutivo comercial / Sueldo fijo 2200 + comisiones + bonos,GRUPO SERGIN S.A.C.,,,
1,Ejecutivo de Ventas,,,,
1,Ejecutivo Comercial B2B (AUNA)  Hibrido Ventas Corporativas Planilla Directa /  comisiones sin tope,Grupo AUNA,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
1,Ejecutivo Comercial,,,,"S/. 2.500,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas B2B,INVERSIONES MILENIUM,,,"S/. 1.300,00 (Mensual) + Comisiones"
1,Banco Falabella/ Ejecutivo Comercial Jockey Plaza/Sector Financiero,FALABELLA CORPORATIVO PERÚ,,,
1,Asesor Comercial o Ejecutivo de Ventas,Pos Solutions S.A.C.,,,"S/. 1.500,00 (Mensual)"
1,Ejecutivo(a) de Ventas Norte Chico,Huemura SAC,,,
1,Ejecutivo(a) de Reservas,Tunupa Restaurantes,,,
1,Ejecutivo de Admisión Surco,Clinica Internacional SA,,,
1,Ejecutivo de Ventas B2B y B2C,Promafa s.a.c.,,,
1,Ejecutivo de Banca Negocios / Prestamype,Sef Peru Holding SAC,,,
1,Ejecutivo de Ventas / Cañete / Asia,Los Portales,,,
1,Ejecutivo Comercial Pymes  Win Negocios,YT GROUP,,,"S/. 1.200,00 (Mensual)"
