cluster,titulo_puesto,nombre_empresa,ubicacion,modalidad,salario
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Practicante de Innovación y Transformación Digital,TRANSYT,,,
0,Analista de TI / Transformación digital,ALMACENES SANTA CLARA,,,
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Analista de Transformación Digital / TI,ALMACENES SANTA CLARA,,,
0,Analista de TI / Transformación digital,ALMACENES SANTA CLARA,,,
0,Jefe de BI / Analytics / Transformación Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
0,Jefe de transformación digital,,,,
0,Coordinador de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Especialista de Transformación Digital,Caja Cencosud Del Grupo Scotiabank,,Presencial y remoto,
0,Analista de Transformación Digital / TI,ALMACENES SANTA CLARA,,,
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,"S/. 5.000,00 (Mensual)"
0,Coordinador de Tecnología y Transformación Digital,Overall Strategy,,,
1,Ejecutivo de captaciones,KURIA COOP,,,
1,Ejecutivo(a) de Ventas Freelance,CA Sistemas Empresariales SAC,,,
1,Ejecutivo de Visitas a Condominios /Movistar,Digital Max,,,"S/. 1.430,00 (Mensual)"
1,Ejecutivo de captaciones,KURIA COOP,,,
1,Ejecutivo(a) de Admision Hospitalario / Lima,Clinica Internacional SA,,,
1,Ejecutivo de ventas Hipotecario BCP,Adecco Perú S.A.,,,
1,ejecutivo senior,COMPAÑÍA MERAKI PERU SAC,,Presencial y remoto,
1,Ejecutivo de Ventas,Exige Industrial S.A.C.,,,"S/. 2.000,00 (Mensual)"
1,Ejecutivo de ventas con experiencia venta de Aceros Inoxidable,,,,
1,Ejecutivo de Ventas de Autopartes,CORPORACION JRC PERU S.A.C.,,,"S/. 1.130,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas,Terres Magiques des Incas EIRL,,,
1,Ejecutivo de Ventas Industriales,MODASA,,,
1,Ejecutivo de Ventas  (José Leonardo Ortiz),Los Portales,,,
1,Ejecutivo de Ventas (Barranca),Los Portales,,,
1,Ejecutivo de Ventas  (Chiclayo Pimentel),Los Portales,,,
1,Ejecutivo(a) de Reservas,Tunupa Restaurantes,,,
1,Ejecutivo de Ventas,LASER PRODUCTS EIRL,,,
1,Ejecutivo de Ventas de Ruta en Huánuco/Experiencia en Ventas/Canal Mayorista,Manpower,,,
1,Ejecutivo(a) de Telemarketing Escuela Zegel,inLearning Escuelas de Educación Superior,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas C/Experiencia,Hagroy Electronic,,,"S/. 1.800,00 (Mensual) + Comisiones"
1,Ejecutivo(a) de Contac Center MAD,Clinica Internacional SA,,,
1,Ejecutivo de Reservas,PERUVIAN SUNRISE,,,
1,Ejecutivo de Ventas / Lima Sur,Los Portales,,,
1,Ejecutivo de Ventas,Increxa,,,
1,Ejecutivo de Visitas a Condominios /Movistar,Digital Max,,,"S/. 1.430,00 (Mensual)"
1,Ejecutivo de Ventas,Increxa,,,"S/. 1.200,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas  (Ica Subtanjalla),Los Portales,,,
1,Ejecutivo de Ventas / Asia /Contamos con movilidad,Los Portales,,,
1,Ejecutivo(a) de Ventas   Tarapoto,Huemura SAC,,,"S/. 1.200,00 (Mensual)"
1,Ejecutivo(a) de Reclamos,Adecco Perú S.A.,,,"S/. 1.700,00 (Mensual)"
1,Ejecutivo de Ventas de Formación Continua/ Turno Tarde / Comisiones + Planilla completa,Universidad Privada Norbert Wiener,,,
1,Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
1,Ejecutivo de captaciones,KURIA COOP,,,
1,Ejecutivo de Ciudad,TREEP,,,
1,Ejecutivo(a) de Ventas Norte Chico,Huemura SAC,,,
1,Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
1,Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
1,Ejecutivo de Ventas,,,,
1,Ejecutivo(a) de Ventas,,,,"S/. 1.800,00 (Mensual)"
1,Trabajo en tus ratos libres Ejecutivo de ventas 4horas,Salesland Pacífico,,Presencial y remoto,
1,Ejecutivo de ventas,Grupo San Pablo,,,
1,Ejecutivo de Ventas Industrial / Inside Sale,Fitflow Peru SRL,,,
1,Ejecutivo de Ventas  / Canto Grande,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de ventas,Grupo San Pablo,,,
1,Ejecutivo de Ventas Banco BBVA Chincha,Sef Peru Holding SAC,,,
1,Ejecutivo/a de Retención y Ventas,Adecco Perú S.A.,,,
1,Ejecutivo de Ventas (Comisiones ilimitadas) Ingreso directo,AMG International E.I.R.L.,,,
1,Ejecutivo de Telemarketing,KasNet,,,
1,Ejecutivo de ventas con experiencia en sector financiero,BEKIT,,,
1,Ejecutivo de Fidelización de Clientes,Verisure Peru SAC,,,
