puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Analista Marketing Digital,CENTROMEDIC,,,
Analista Marketing Digital,ALMACENES SANTA CLARA,,,
Analista Marketing Digital,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
Analista Marketing Digital,TRUST CONSULTING,,,"S/. 10.000,00 (Mensual)"
Analista Marketing Digital,Overall Strategy,,,"S/. 5.000,00 (Mensual)"
Analista Marketing Digital,Laureate,,,
Analista Marketing Digital,MAQUITOP S.A.C.,,,"S/. 2.000,00 (Mensual)"
Analista Marketing Digital,RETABET PERÚ SAC,,Presencial y remoto,
Analista Marketing Digital,LOPEZ CONCHA MIRIAN SILVANA,,,
Analista Marketing Digital,ALMACENES SANTA CLARA,,,
Analista Marketing Digital,CREACIONES TEXTILES AYM S.A.C.,,,"S/. 1.500,00 (Mensual)"
Analista Marketing Digital,Total Talent Human Resources,,,"S/. 1.800,00 (Mensual)"
Analista Marketing Digital,,,,
Analista Marketing Digital,SKY ANDAMIOS & ELEVADORES,,,"S/. 1.500,00 (Mensual)"
Analista Marketing Digital,GRUPO ECOLIMP E.I.R.L,,,
Analista Marketing Digital,GRUPO WAYKA S.A.C.,,,
Analista Marketing Digital,,,Presencial y remoto,
Analista Marketing Digital,Cafeladerías 4D,,,
Analista Marketing Digital,Cafeladerías 4D,,,
Analista Marketing Digital,ALMACENES SANTA CLARA,,,
Analista Marketing Digital,,,,
Analista Marketing Digital,Caja Cencosud Del Grupo Scotiabank,,Presencial y remoto,
Analista Marketing Digital,Grupo San Pablo,,,
Analista Marketing Digital,VOX MEDIA,,,"S/. 1.300,00 (Mensual)"
Analista Marketing Digital,,,Presencial y remoto,
Analista Marketing Digital,TRANSYT,,,
Analista Marketing Digital,REGENERA SKIN SOCIEDAD ANONIMA CERRADA,,,"S/. 2.900,00 (Mensual)"
Analista Marketing Digital,Overall Strategy,,,
Analista Marketing Digital,Overall Strategy,,,"S/. 5.000,00 (Mensual)"
