puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Almacenero para productos informáticos,UPGRADE,,,
Analista de Seguridad Informática y Ciberseguridad,Caja Maynas,,,
Analista de Eventos de Seguridad Informática,SISTEMAS TECNOLOGICOS INTEGRALES CORPORATIVOS S.A.C.,,,
Practicante de Machine Learning,Creditex S.A.A.,,,
Tecnico en informatica,Solver,,,
docente,,,,
Especialista de Seguridad Informática,Financiera Confianza,,Presencial y remoto,
Diseñadora Informatica,,,Presencial y remoto,
Soporte Tecnico Informático para PUNO,Centro Nacional de Servicios - CNS,,,
Clasificado por Reglas,,,Presencial y remoto,
Docente de Pregrado de Prácticas Pre Profesional I y II para Ingeniería de Sistemas e Informática,Universidad de Ciencias y Humanidades,,,
Técnico Informático,,,,
"Estudiantes de Administración, informática, sistemas para “Atención y soporte al estudiante”",ESCUELA EMPRESARIAL DEL PERU - ESEP,,,
Técnico Informático Ti En Seguridad Privada,Casevip,,,
asistente de Informatica y Redes,LABO PERU S.A.C.,,,
Profesional de soporte hardware y software en oficina,CONSORCIO PRO AGUA SAN MARTIN,,,
Practicante Profesional de Seguridad Informática,BSG Institute,,,
Supervisor Informático,Consutic,,,
Cibertec: Docente Tiempo Completo (24hrs) Carrera Computación e Informática,Laureate,,,
Soporte Tecnico Informático para Trujillo,Centro Nacional de Servicios - CNS,,,
Técnico Soporte Informático,,,,
Clasificado por Reglas,Adecco Perú S.A.,,,
Analista BI/Minería,Adecco Perú S.A.,,,
Profesores para el Centro de Informática y Sistemas,Universidad César Vallejo,,,
Profesores para el Centro de Informática y Sistemas,Universidad César Vallejo,,,
Instructor  JP  Redes y Seguridad Informática Piura,SENATI,,,
Auxiliar de soporte técnico informático,,,Presencial y remoto,
técnico informático,,,,
Operadoras de Pruebas,Grupo GDP,,,
"Practicante Profesional de Ingeniería de Sistemas/Informática, Ingeneieria Industrial",,,,
Analista de TI,ACS SOLUTIONS PERU S.A.,,,
Tecnico Soporte Informatico,,,,
Asesor Comercial o Ejecutivo de Ventas,Pos Solutions S.A.C.,,,
Analista de Soporte a Usuarios,Sigcomt SAC,,,
redes y seguridad informática,RIGEL TELEMATICS,,,
Técnico de Informática,CQFP,,,
Técnico computación e informática,GROUP HORNA E Y C TRADING S.AC.,,,
Jefe/Gerente Comercial metal mecaniaca,METAL MECANICA CAMACHO,,,
asistente de soporte técnico,Universo Tecnológico,,,
Practicante de redes e informática,PRONET SYSTEM SAC,,,
Técnico informático,PISKOTECH GROUP E.I.RL,,,
Practicante Profesional de Sistemas y/o Informática,CDI PERÚ,,,
encargado/a de informática,OMC ABOGADOS & CONSULTORES EIRL,,,
Técnico Informático,OZ TALENT S.A.C.,,,
