puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Jefe Transformación Digital,Overall Strategy,,,5000.0
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,TRUST CONSULTING,,,10000.0
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,TRANSYT,,,
Jefe Transformación Digital,ALMACENES SANTA CLARA,,,
Jefe Transformación Digital,TRUST CONSULTING,,,10000.0
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,ALMACENES SANTA CLARA,,,
Jefe Transformación Digital,ALMACENES SANTA CLARA,,,
Jefe Transformación Digital,TRUST CONSULTING,,,10000.0
Jefe Transformación Digital,,,,
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,Overall Strategy,,,5000.0
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,Caja Cencosud Del Grupo Scotiabank,,Presencial y remoto,
Jefe Transformación Digital,ALMACENES SANTA CLARA,,,
Jefe Transformación Digital,Overall Strategy,,,
Jefe Transformación Digital,Overall Strategy,,,5000.0
Jefe Transformación Digital,Overall Strategy,,,5000.0
Jefe Transformación Digital,Overall Strategy,,,
Ejecutivo Ventas Freelance,KURIA COOP,,,
Ejecutivo Ventas Freelance,CA Sistemas Empresariales SAC,,,
Ejecutivo Ventas Freelance,Digital Max,,,1430.0
Ejecutivo Ventas Freelance,KURIA COOP,,,
Ejecutivo Ventas Freelance,Clinica Internacional SA,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,
Ejecutivo Ventas Freelance,COMPAÑÍA MERAKI PERU SAC,,Presencial y remoto,
Ejecutivo Ventas Freelance,Exige Industrial S.A.C.,,,2000.0
Ejecutivo Ventas Freelance,,,,
Ejecutivo Ventas Freelance,CORPORACION JRC PERU S.A.C.,,,1130.0
Ejecutivo Ventas Freelance,Terres Magiques des Incas EIRL,,,
Ejecutivo Ventas Freelance,MODASA,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Tunupa Restaurantes,,,
Ejecutivo Ventas Freelance,LASER PRODUCTS EIRL,,,
Ejecutivo Ventas Freelance,Manpower,,,
Ejecutivo Ventas Freelance,inLearning Escuelas de Educación Superior,,,1130.0
Ejecutivo Ventas Freelance,Hagroy Electronic,,,1800.0
Ejecutivo Ventas Freelance,Clinica Internacional SA,,,
Ejecutivo Ventas Freelance,PERUVIAN SUNRISE,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Increxa,,,
Ejecutivo Ventas Freelance,Digital Max,,,1430.0
Ejecutivo Ventas Freelance,Increxa,,,1200.0
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Huemura SAC,,,1200.0
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,1700.0
Ejecutivo Ventas Freelance,Universidad Privada Norbert Wiener,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,
Ejecutivo Ventas Freelance,KURIA COOP,,,
Ejecutivo Ventas Freelance,TREEP,,,
Ejecutivo Ventas Freelance,Huemura SAC,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,
Ejecutivo Ventas Freelance,,,,
Ejecutivo Ventas Freelance,,,,1800.0
Ejecutivo Ventas Freelance,Salesland Pacífico,,Presencial y remoto,
Ejecutivo Ventas Freelance,Grupo San Pablo,,,
Ejecutivo Ventas Freelance,Fitflow Peru SRL,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,Grupo San Pablo,,,
Ejecutivo Ventas Freelance,Sef Peru Holding SAC,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,
Ejecutivo Ventas Freelance,AMG International E.I.R.L.,,,
Ejecutivo Ventas Freelance,KasNet,,,
Ejecutivo Ventas Freelance,BEKIT,,,
Ejecutivo Ventas Freelance,Verisure Peru SAC,,,
Ejecutivo Ventas Freelance,Automatizate Negocios,,,1130.0
Ejecutivo Ventas Freelance,Automatizate Negocios,,,1130.0
Ejecutivo Ventas Freelance,MAYA,,,
Ejecutivo Ventas Freelance,DENTOSHOP S.A.C.,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,,,,
Ejecutivo Ventas Freelance,MAYA,,,
Ejecutivo Ventas Freelance,,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,ICPNA,,,
Ejecutivo Ventas Freelance,TORRES MERINO HENRY EDSONPAOLO,,,
Ejecutivo Ventas Freelance,IDEAS APLICADAS SA,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,
Ejecutivo Ventas Freelance,Sef Peru Holding SAC,,,
Ejecutivo Ventas Freelance,DC Grupo Inmobiliario,,,
Ejecutivo Ventas Freelance,CBC PERUANA,,,
Ejecutivo Ventas Freelance,J & R TECHNOLOGY SOLUTIONS S.A.C.,,,2500.0
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,CBC PERUANA,,,
Ejecutivo Ventas Freelance,PERUVIAN SUNRISE,,,
Ejecutivo Ventas Freelance,Verisure Peru SAC,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,INKADEVS S.A.C.,,,
Ejecutivo Ventas Freelance,Mibanco - Banco de la Microempresa,,,
Ejecutivo Ventas Freelance,IMPORT EXPORT TOOLS SAC,,,1400.0
Ejecutivo Ventas Freelance,ARGACORP S.A.C.,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,1000.0
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,ZAVALETA MORON BRAYAN MILKO,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,ILAE,,,
Ejecutivo Ventas Freelance,KOMATSU - MITSUI MAQUINARIAS,,,
Ejecutivo Ventas Freelance,GRUPO BLMG SAC,,,1200.0
Ejecutivo Ventas Freelance,LASER PRODUCTS EIRL,,,
Ejecutivo Ventas Freelance,IDEAS APLICADAS SA,,,
Ejecutivo Ventas Freelance,Maderera Invicta S.R.L.,,,1300.0
Ejecutivo Ventas Freelance,TREEP,,,
Ejecutivo Ventas Freelance,TOUCH DATA S.A.C.,,Presencial y remoto,1500.0
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,Maya Digital Technologies,,,1500.0
Ejecutivo Ventas Freelance,ARGACORP S.A.C.,,,
Ejecutivo Ventas Freelance,Hagroy Electronic,,,1800.0
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,,,Presencial y remoto,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,
Ejecutivo Ventas Freelance,SANITAS PERU,,,
Ejecutivo Ventas Freelance,Manpower,,,
Ejecutivo Ventas Freelance,DC Grupo Inmobiliario,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,CA Sistemas Empresariales SAC,,,
Ejecutivo Ventas Freelance,Fosforera Peruana SA,,,
Ejecutivo Ventas Freelance,,,,1500.0
Ejecutivo Ventas Freelance,Terres Magiques des Incas EIRL,,,
Ejecutivo Ventas Freelance,APRENDELO PE AGENCIA & CURSOS,,Presencial y remoto,
Ejecutivo Ventas Freelance,N&S Distribuciones,,,
Ejecutivo Ventas Freelance,ICPNA,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,
Ejecutivo Ventas Freelance,Los Portales,,,
Ejecutivo Ventas Freelance,Laureate,,,
Ejecutivo Ventas Freelance,Adecco Perú S.A.,,,
Ejecutivo Ventas Freelance,Huemura SAC,,,
Ejecutivo Ventas Freelance,Financiera QAPAQ,,,1130.0
Ejecutivo Ventas Freelance,Automatizate Negocios,,,1130.0
Ejecutivo Ventas Freelance,Automatizate Negocios,,,1130.0
Ejecutivo Ventas Freelance,,,,5000.0
Ejecutivo Ventas Scotiabank,Sef Peru Holding SAC,,,
Ejecutivo Ventas Scotiabank,,,Presencial y remoto,
Ejecutivo Ventas Scotiabank,MF Asesoria y Consultoria SAC,,Presencial y remoto,
Ejecutivo Ventas Scotiabank,Sef Peru Holding SAC,,,
Ejecutivo Ventas Scotiabank,,,,
Ejecutivo Ventas Scotiabank,,,,
Ejecutivo Ventas Scotiabank,,,,
Ejecutivo Ventas Scotiabank,Sef Peru Holding SAC,,,
Ejecutivo Ventas Scotiabank,Sef Peru Holding SAC,,,
Ejecutivo Ventas Scotiabank,Sef Peru Holding SAC,,,
