puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Python Developers,"Denken Solutions, Inc.",US,California,69094.57,69094.57,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5242813197?utm_medium=api&utm_source=523818bf
Python Developer,TEKsystems,US,California,165572.16,165572.16,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5269372251?utm_medium=api&utm_source=523818bf
Python Developer,Happiest Resume,US,California,300000.0,600000,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5146803933?utm_medium=api&utm_source=523818bf
Python Developer,Sajix Software Solution Private Limited,US,California,85132.41,85132.41,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5280901450?utm_medium=api&utm_source=523818bf
Python Developer,Sansar Tec,US,California,114681.37,114681.37,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5274735894?utm_medium=api&utm_source=523818bf
Python Developer,Pepperdeck,US,California,107884.83,107884.83,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/4811306202?utm_medium=api&utm_source=523818bf
Junior Python Developer,Patterned Learning AI,US,California,70000.0,80000,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/4814562840?utm_medium=api&utm_source=523818bf
Sr. Python Developer,ADPMN INC,US,California,94026.7,94026.7,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5231338730?utm_medium=api&utm_source=523818bf
Senior Python Developer,Resource Informatics Group Inc,US,California,111671.81,111671.81,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5283077014?utm_medium=api&utm_source=523818bf
Python Developer with Axioma Optimizer,HireByte,US,California,156000.0,NA,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5280041304?utm_medium=api&utm_source=523818bf
Python Developer-F2F Interview,Vkore Solutions,US,California,107009.84,107009.84,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5277827991?utm_medium=api&utm_source=523818bf
Python Developer (Entry Level),Patterned Learning AI,US,California,60000.0,70000,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/4809796344?utm_medium=api&utm_source=523818bf
Senior Backend Python Developer,Motion Recruitment Partners,US,California,92398.55,92398.55,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5258007839?utm_medium=api&utm_source=523818bf
Python Developer w/ AWS,Cognizant,US,California,111403.55,111403.55,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5289102276?utm_medium=api&utm_source=523818bf
Director Power BI & Python Developer,4 Staffing Corp,US,California,119417.39,119417.39,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5244852026?utm_medium=api&utm_source=523818bf
Senior Python Developer- AI/ML,Sustainable Talent,US,California,144689.06,144689.06,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5222533156?utm_medium=api&utm_source=523818bf
Senior Python Developer (Team Lead),PR Volt,US,California,148497.2,148497.2,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5280890320?utm_medium=api&utm_source=523818bf
Senior Python Developer / AWS / Fully-remote,Motion Recruitment Partners,US,California,135311.17,135311.17,USD,Anual,NA,Engineering Jobs,Adzuna,API,https://www.adzuna.com/details/5256252518?utm_medium=api&utm_source=523818bf
Senior Python Developer / Remote / Cloud & Microservices,Motion Recruitment Partners,US,California,137036.81,137036.81,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5258007837?utm_medium=api&utm_source=523818bf
Part Time Gen AI Python Developer - Remote,Cognizant,US,California,94842.63,94842.63,USD,Anual,NA,Part time Jobs,Adzuna,API,https://www.adzuna.com/details/5289100893?utm_medium=api&utm_source=523818bf
Senior Python Developer Job at Antelope Audio in Santa Monica,Antelope Audio,US,California,66537.07,66537.07,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5260064005?utm_medium=api&utm_source=523818bf
Python Backend Developer,A1advisor,US,California,114400.0,124800,USD,Anual,part_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5236382151?utm_medium=api&utm_source=523818bf
Antelope Audio is hiring: Senior Python Developer in Santa Monica,Antelope Audio,US,California,70549.66,70549.66,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5260064004?utm_medium=api&utm_source=523818bf
Hybrid - Senior Python Developer (8-11 Years Experience) - Intuit,S M Software Solutions Inc,US,California,120453.66,120453.66,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5288070243?utm_medium=api&utm_source=523818bf
Senior Python Developer (Team Lead) Job at PR Volt in Santa Monica,PR Volt,US,California,176993.8,176993.8,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5287567267?utm_medium=api&utm_source=523818bf
Junior Python Application Developer,GCOM Careers,US,California,86950.61,86950.61,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5275546105?utm_medium=api&utm_source=523818bf
PR Volt is hiring: Senior Python Developer (Team Lead) in Santa Monica,PR Volt,US,California,143028.62,143028.62,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5273486366?utm_medium=api&utm_source=523818bf
C /Python/Java Developer (Onsite),BAE Systems,US,California,100891.31,100891.31,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5228553234?utm_medium=api&utm_source=523818bf
Full-Stack Developer (React & Python),Zifcare,US,California,100000.0,200000,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5236380780?utm_medium=api&utm_source=523818bf
"Senior Software Engineer, Developer Infra (Python)",Airbnb,US,California,142806.73,142806.73,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5279198850?utm_medium=api&utm_source=523818bf
"Auphonic is hiring: Backend/Frontend Web and Audio Developer (Python, JavaScript",Auphonic,US,California,108133.59,108133.59,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5132667809?utm_medium=api&utm_source=523818bf
"Python, Pyspark and DBT Lead Developer",Infosys,US,California,81905.0,108848,USD,Anual,full_time,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5263691948?utm_medium=api&utm_source=523818bf
"Backend/Frontend Web and Audio Developer (Python, JavaScript) Engineering Graz J",Auphonic,US,California,110564.64,110564.64,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5204233654?utm_medium=api&utm_source=523818bf
Python/Django Consultant,SoftHQ,US,California,72175.73,72175.73,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/4816788969?utm_medium=api&utm_source=523818bf
Senior Back End Developer (Go/Python/Java) - HYBRID,Teksystems,US,California,168132.06,168132.06,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5279815837?utm_medium=api&utm_source=523818bf
Senior Applications Developer (ArcGIS  Python/Java  Oracle/PostgreSQL),"Triangle DeCon Services, Inc.",US,California,104127.51,104127.51,USD,Anual,NA,IT Jobs,Adzuna,API,https://www.adzuna.com/details/5287923813?utm_medium=api&utm_source=523818bf
