puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Otro,Almacenero para productos informáticos,No disponible,No disponible,
Especialista en Ciberseguridad,Analista de Seguridad Informática y Ciberseguridad,No disponible,No disponible,
Otro,Analista de Eventos de Seguridad Informática,No disponible,No disponible,
Ingeniero de Machine Learning,Practicante de Machine Learning,No disponible,No disponible,
Otro,Tecnico en informatica,No disponible,No disponible,
Otro,docente,No disponible,No disponible,
Otro,Especialista de Seguridad Informática,No disponible,Presencial y remoto,
Otro,Diseñadora Informatica,No disponible,Presencial y remoto,
Soporte Técnico,Soporte Tecnico Informático para PUNO,No disponible,No disponible,
Desarrollador de Software,Desarrollador Informatico,No disponible,Presencial y remoto,
Otro,Docente de Pregrado de Prácticas Pre Profesional I y II para Ingeniería de Sistemas e Informática,No disponible,No disponible,
Otro,Técnico Informático,No disponible,No disponible,
Otro,"Estudiantes de Administración, informática, sistemas para “Atención y soporte al estudiante”",No disponible,No disponible,
Otro,Técnico Informático Ti En Seguridad Privada,No disponible,No disponible,
Otro,asistente de Informatica y Redes,No disponible,No disponible,
Otro,Profesional de soporte hardware y software en oficina,No disponible,No disponible,
Otro,Practicante Profesional de Seguridad Informática,No disponible,No disponible,
Otro,Supervisor Informático,No disponible,No disponible,
Otro,Cibertec: Docente Tiempo Completo (24hrs) Carrera Computación e Informática,No disponible,No disponible,
Soporte Técnico,Soporte Tecnico Informático para Trujillo,No disponible,No disponible,
Otro,Técnico Soporte Informático,No disponible,No disponible,
Desarrollador de Software,Desarrollador de Sistemas de Soporte Informático/Minería,No disponible,No disponible,
Analista BI,Analista BI/Minería,No disponible,No disponible,
Otro,Profesores para el Centro de Informática y Sistemas,No disponible,No disponible,
Otro,Profesores para el Centro de Informática y Sistemas,No disponible,No disponible,
Otro,Instructor  JP  Redes y Seguridad Informática Piura,No disponible,No disponible,
Otro,Auxiliar de soporte técnico informático,No disponible,Presencial y remoto,
Otro,técnico informático,No disponible,No disponible,
Otro,Operadoras de Pruebas,No disponible,No disponible,
Otro,"Practicante Profesional de Ingeniería de Sistemas/Informática, Ingeneieria Industrial",No disponible,No disponible,
Otro,Analista de TI,No disponible,No disponible,
Otro,Tecnico Soporte Informatico,No disponible,No disponible,
Otro,Asesor Comercial o Ejecutivo de Ventas,No disponible,No disponible,
Otro,Analista de Soporte a Usuarios,No disponible,No disponible,
Otro,redes y seguridad informática,No disponible,No disponible,
Otro,Técnico de Informática,No disponible,No disponible,
Otro,Técnico computación e informática,No disponible,No disponible,
Otro,Jefe/Gerente Comercial metal mecaniaca,No disponible,No disponible,
Otro,asistente de soporte técnico,No disponible,No disponible,
Otro,Practicante de redes e informática,No disponible,No disponible,
Otro,Técnico informático,No disponible,No disponible,
Otro,Practicante Profesional de Sistemas y/o Informática,No disponible,No disponible,
Otro,encargado/a de informática,No disponible,No disponible,
Otro,Técnico Informático,No disponible,No disponible,
Otro,Especialista Técnico en Redes y Seguridad Informática,No disponible,Presencial y remoto,
Otro,Gestor de Servicios: Tienda Chepen,No disponible,No disponible,
Otro,Gestor de Servicios: Tienda Pedro Ruiz,No disponible,No disponible,
Otro,"Responsable de Instalaciones de Networking, Servidores y Desarrollo de Sistemas (Cercado de Lima)",No disponible,No disponible,
Otro,Agente inmobiliario freelance,No disponible,Presencial y remoto,
Otro,Auxiliar de mantenimiento,No disponible,No disponible,
Otro,Auxiliar de archivo en Ruta,No disponible,No disponible,
Desarrollador de Software,Programador de Sistemas Senior,No disponible,No disponible,
Otro,Tecnico Electrónico Jr.,No disponible,No disponible,
Otro,Supervisor(a) de Distribución,No disponible,No disponible,
Otro,Técnico de Telecomunicaciones Con licencia de conducir Tarapoto,No disponible,No disponible,
Otro,Asesor de Negocios Con/Sin Experiencia Agencia Manantay (Pucallpa),No disponible,No disponible,
Otro,Auxiliar de almacén,No disponible,No disponible,
Otro,Vendedor (a) – Part Time para Tienda American Brands en Open Plaza Atocongo,No disponible,No disponible,
Otro,"¡Gana lo que tú quieras! Asesor de Ventas con Bonos Diarios, Semanales y Comisiones Sin Límite",No disponible,No disponible,
Otro,"¡Con o sin experiencia! !GANA hasta S/. 2,000 + Bonos Diarios y Semanales! / Asesores de Venta",No disponible,No disponible,
Desarrollador de Software,Desarrollador Odoo Junior,No disponible,Presencial y remoto,
Ingeniero de Datos,Analista Senior Data Engineer,No disponible,Presencial y remoto,
Otro,¡Urgente! Lima Norte / Asesores de Chat y llamadas / Disponibilidad Inmediata,No disponible,No disponible,
Otro,Asesor de Negocios Con Experiencia Agencia Huancas (Huancayo),No disponible,No disponible,
Otro,Operador Call Center,No disponible,No disponible,
Otro,Escuela de Asesores de Negocios Sede Tacna,No disponible,No disponible,
Otro,Monitor de calidad para call center de cobranza + planilla completa,No disponible,No disponible,
Otro,Trabajo Desde Casa Ingeniero en Redes / Ref. 0044,No disponible,No disponible,
Otro,Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,No disponible,No disponible,
Otro,Asistente de Soporte Técnico,No disponible,No disponible,
Analista Funcional,Analista de Sistemas,No disponible,Presencial y remoto,
Otro,Médico Ocupacional / Unidad Minera,No disponible,No disponible,
Otro,Auditor de Campo Última Milla / Lima / Planilla Win,No disponible,No disponible,
Desarrollador de Software,Analista Programador / Sector Logístico / Lince,No disponible,No disponible,
Otro,Auxiliar de reparto para el área de Transporte,No disponible,No disponible,
Desarrollador de Software,Desarrollador FullStack SemiSenior,No disponible,Presencial y remoto,
Otro,Líder Técnico de Desarrollo,No disponible,Presencial y remoto,
Soporte Técnico,Operador Soc (a) Junior / Help Desk,No disponible,Presencial y remoto,
Otro,Técnico de Mantenimiento Chimbote,No disponible,No disponible,
Otro,Analista TI / San Borja,No disponible,No disponible,
Otro,Docente de Mecánica Automotriz,No disponible,No disponible,
Otro,Tecnico de computadoras y NB,No disponible,No disponible,
Analista BI,Analista de Inteligencia de Negocios/Rubro Outsourcing,No disponible,No disponible,
Otro,Ejecutiva de Operaciones / Trujillo,No disponible,No disponible,
Otro,Analista de Infraestructura y Sistemas,No disponible,No disponible,
Otro,QA Lab Automation,No disponible,Presencial y remoto,
Otro,Higienista Ocupacional / Unidad Minera,No disponible,No disponible,
Otro,QA Automation Arequipa/Trujillo,No disponible,Presencial y remoto,
Analista BI,Practicante de Inteligencia de Negocios (Recién Egresados),No disponible,Presencial y remoto,
Ingeniero de Machine Learning,Ingeniero de machine learning,No disponible,Presencial y remoto,
Otro,IT Operations Coordinator / Sector Minería/Hidrocarburos,No disponible,Presencial y remoto,
