company,id,link,location,salary,snippet,source,title,type,updated
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...de atención de incidentes. 
¿Qué buscamos?
- Bachiller / Titulado en Ingeniería de Sistemas, Ingeniería de Software, Ingeniería <b>Informática </b>y/o afines. Carrera Técnica: Informática / Computación / Programación. 
- Experiencia de al menos de 3 años liderando equipos de...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Lima Airport Partners,-8954540438640393881,https://es.jooble.org/jdp/-8954540438640393881,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Técnico de Mantenimiento de Sistemas Eléctricos (Temporal - 6 meses),,2025-07-11T00:51:46.2183987+00:00
Mibanco - PE,8721812186019853369,https://es.jooble.org/jdp/8721812186019853369,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Analista Senior de Tecnología e Información de Riesgos,,2025-04-15T05:15:02.1830000
Lima Airport Partners,7716042880017891679,https://es.jooble.org/jdp/7716042880017891679,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Project Controls Analyst,,2025-07-11T00:51:46.2725708+00:00
Jockey Plaza Perú,-2726437625138434187,https://es.jooble.org/jdp/-2726437625138434187,Peru,,"&nbsp;...sean encomendadas por su jefe inmediato superior, de acuerdo con las necesidades y requerimientos. 
· Creación de clientes en los <b>sistemas.</b> 
· Apoyo en reportes diversos 
 Requisitos: 
· Estudios: Estudiantes de 5to – 8vo ciclo de la carrera de Contabilidad. 
·...&nbsp;",genoma.work,Practicante de contabilidad,,2025-07-11T00:51:46.3238240+00:00
Lima Airport Partners,-8311455118364577765,https://es.jooble.org/jdp/-8311455118364577765,Peru,,"&nbsp;...la gestión del plan de beneficios de Lima Airport. 
- Brindar soporte en la gestión del control de descansos médicos a través del <b>sistema </b>de la empresa. 
- Realizar seguimiento de los casos de salud para gestionar trámites con Essalud. 
¿Qué perfiles buscamos?
- Egresados...&nbsp;",genoma.work,Practicante Profesional de Bienestar y Beneficios,,2025-06-26T00:51:13.5639840+00:00
Lima Airport Partners,4340708526491896951,https://es.jooble.org/jdp/4340708526491896951,Peru,,"&nbsp;...desarollo de iniciativas sostenibles. 
¿Qué harás en el rol?
- Brindar soporte en el mantenimiento, seguimiento y mejora de procesos del <b>Sistema </b>de Gestión Ambiental de la organización (ISO 14001). 
- Apoyar en la revisión y elaboración de procedimientos, instructivos y...&nbsp;",genoma.work,Practicante Profesional de Gestión Ambiental,,2025-07-11T00:51:46.6785681+00:00
Lima Airport Partners,3876879871221910902,https://es.jooble.org/jdp/3876879871221910902,Peru,,"&nbsp;...presentaciones, entre otros. 
¿Qué perfiles buscamos?
- Egresado(a) o Bachiller de las carreras de Ingeniería Industrial, Ingeniería de <b>Sistemas,</b> Administración o afines. 
- Poseer conocimientos en mejora continua. 
- Contar con Excel Avanzado. 
- Contar con Power BI...&nbsp;",genoma.work,Practicante Profesional de Planeamiento de Operaciones,,2025-06-29T00:51:14.0793945+00:00
Mibanco - PE,-4910663903617676500,https://es.jooble.org/jdp/-4910663903617676500,Peru,,"&nbsp;...prácticas en los análisis y modelos del CoE de Analytics. 
¿Qué buscamos?
• Bachiller en Ingeniería Industrial, Economía, Ingeniería de <b>Sistemas,</b> Estadística o afines. 
• Experiencia: Mínimo 2 años de experiencia en equipos de Analytics, Inteligencia comercial, CRM,...&nbsp;",genoma.work,Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),,2025-05-23T00:56:09.3541880+00:00
Mibanco - PE,773479072834891234,https://es.jooble.org/jdp/773479072834891234,Peru,,"&nbsp;...Participar, coordinar respuestas a las auditorías internas y externas. 
¿Qué buscamos?
• Titulado o Bachiller en Ingeniería de <b>Sistemas,</b> Informática o afines. 
• 4 años de experiencia como Especialista o Analista en Seguridad Tecnológica y/o Ciberseguridad o puestos...&nbsp;",genoma.work,Especialista de Seguridad Tecnológica,,2025-05-15T20:28:43.7715040+00:00
