puesto_trabajo,pais,salario,enlace_oferta,nombre_empresa,plataforma_origen,tipo_fuente_datos,moneda_salario,periodo_salario
Líder Técnico de Sistemas,Perú,1000.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Tecnología e Información de Riesgos,Perú,1100.0,https://es.jooble.org/jdp/8721812186019853369,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,1200.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,1300.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Bienestar y Beneficios,Perú,1400.0,https://es.jooble.org/jdp/-8311455118364577765,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Planeamiento de Operaciones,Perú,1500.0,https://es.jooble.org/jdp/3876879871221910902,Lima Airport Partners,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,1600.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Seguridad Tecnológica,Perú,1700.0,https://es.jooble.org/jdp/773479072834891234,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,1800.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,1900.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Práctica People Analytics - PE,Perú,2000.0,https://es.jooble.org/jdp/4023815672393001604,Sky Airline,Jooble,API,PEN,Mensual
Practicante de Gestión de Procesos y Mejora Continua,Perú,2100.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Asesoría Legal,Perú,2200.0,https://es.jooble.org/jdp/-3501703114656034932,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,2300.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Soluciones de Políticas de Riesgos,Perú,2400.0,https://es.jooble.org/jdp/-8747831334667195762,Mibanco - PE,Jooble,API,PEN,Mensual
Inspector SSO de Gestión de Terceros,Perú,2500.0,https://es.jooble.org/jdp/7260276718380826679,Lima Airport Partners,Jooble,API,PEN,Mensual
Supervisor General de Seguridad Patrimonial,Perú,2600.0,https://es.jooble.org/jdp/-3630387068981460809,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista Senior de Riesgos,Perú,2700.0,https://es.jooble.org/jdp/-6084323909312573821,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,2800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,2900.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Gerente de Modelos de Riesgo,Perú,3000.0,https://es.jooble.org/jdp/-2206776596167358849,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,3100.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
