puesto_trabajo,nombre_empresa,categoría,país,region_estado,salario,moneda_salario,periodo_salario,tipo_contrato,plataforma_origen,tipo_fuente_datos,enlace_oferta
Data Analyst Internship,ConnectPrep,Data Analyst,United States,Connecticut,34053,USD,Anual,OTHER,Active Jobs,API,https://jobs.workable.com/view/38rSnq88Bvt1tVMjg7hirj/remote-data-analyst-internship-in-westport-at-connectprep
Data Analyst,Hoffman Construction Company,Data Analyst,United States,Texas,42243,USD,Anual,Full time,Active Jobs,API,https://efsp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/839
Data Analyst,A&K Railroad Materials Inc,Data Analyst,United States,Utah,37701,USD,Anual,,Active Jobs,API,https://recruiting.paylocity.com/Recruiting/Jobs/Details/3410321
IT Data Analyst,FSTONE Technologies,Data Analyst,United States,Georgia,33252,USD,Anual,FULL_TIME,Active Jobs,API,https://fstonetechnologies.applytojob.com/apply/RmYdljYmsF/IT-Data-Analyst
Asset Verification Data Analyst,"Ascella Technologies, Inc.",Data Analyst,United States,District of Columbia,25903,USD,Anual,FULL_TIME,Active Jobs,API,https://ascellatech.hire.trakstar.com/jobs/fk0pg4l/
Data Analyst I (Onsite),San Manuel,Data Analyst,United States,California,41256,USD,Anual,FULL_TIME,Active Jobs,API,https://www.sanmanuelcareers.com/job/R0015356/Data-Analyst-I-Onsite
CRM Customer & Data Analyst,Jimmy Choo,Data Analyst,United States,New York,30848,USD,Anual,FULL_TIME,Active Jobs,API,https://capri.wd1.myworkdayjobs.com/JimmyChooCareers/job/NY-Metro-Area/CRM-Customer---Data-Analyst_R_778647
Data Analyst,Amivero,Data Analyst,United States,Texas,26654,USD,Anual,,Active Jobs,API,https://recruiting.paylocity.com/Recruiting/Jobs/Details/3409325
Business Data Analyst,Compeer Financial,Data Analyst,"United States, United States, United States, United States, United States","Wisconsin, Wisconsin, Minnesota, Minnesota, Minnesota",21431,USD,Anual,,Active Jobs,API,https://job-boards.greenhouse.io/compeerfinancial/jobs/4802562008
Senior AI Data Analyst,TWG Global,Data Analyst,United States,California,44774,USD,Anual,FULL_TIME,Active Jobs,API,https://jobs.workable.com/view/uUfZKxtWNehY5aC2S3Rsaf/hybrid-senior-ai-data-analyst-in-santa-monica-at-twg-global
Data Scientist - Data Visualization Focus,OpenDataJobs,Data Scientist,United States,District of Columbia,24352,USD,Anual,FULL_TIME,Active Jobs,API,https://jobs.workable.com/view/bo7bSqWmQoq3rwzhGmL2vf/remote-data-scientist---data-visualization-focus-in-washington-at-opendatajobs
Data Scientist,UNITED STATES SOCCER FEDERATION 1,Data Scientist,United States,Georgia,40565,USD,Anual,,Active Jobs,API,https://recruiting.paylocity.com/Recruiting/Jobs/Details/3408913
Associate Data Scientist / Data Scientist I,Epicrispr Biotechnologies,Data Scientist,United States,California,24061,USD,Anual,,Active Jobs,API,https://job-boards.greenhouse.io/epicbio/jobs/5587739004
Data Scientist / Senior Data Scientist – Optimization (Federal) ,C3 AI,Data Scientist,United States,Virginia,20963,USD,Anual,,Active Jobs,API,https://c3.ai/job-description/8073214002?gh_jid=8073214002
"Data Scientist, Product, Merchant Shopping Analytics",Google,Data Scientist,United States,California,49701,USD,Anual,,Active Jobs,API,https://www.google.com/about/careers/applications/jobs/results/136802182245556934
"Data Scientist, Research, Android",Google,Data Scientist,United States,California,45613,USD,Anual,,Active Jobs,API,https://www.google.com/about/careers/applications/jobs/results/97786725098496710
"Senior Data Scientist, Apps Growth",Google,Data Scientist,United States,New York,24294,USD,Anual,,Active Jobs,API,https://www.google.com/about/careers/applications/jobs/results/139040787919708870
Senior Data Scientist - Marketing,Mercury,Data Scientist,United States,,47669,USD,Anual,,Active Jobs,API,https://job-boards.greenhouse.io/mercury/jobs/5587642004
Principal Data Scientist - CoreAI,Microsoft,Data Scientist,United States,Washington,45486,USD,Anual,Full-Time,Active Jobs,API,https://jobs.careers.microsoft.com/global/en/job/1844797
"Member of Technical Staff, Experimentation Data Scientist",Microsoft,Data Scientist,"United States, United States","California, Washington",31594,USD,Anual,Full-time,Active Jobs,API,https://jobs.careers.microsoft.com/global/en/job/MIC025737
Data Engineer - Mid-Level,Jobs for Humanity,Data Engineer,United States,New York,44289,USD,Anual,Contract,Active Jobs,API,https://jobs.smartrecruiters.com/JobsForHumanity/744000070143135-data-engineer-mid-level
Data Engineer - Federal Civilian Health,General Dynamics Information Technology,Data Engineer,United States,,36899,USD,Anual,FULL_TIME,Active Jobs,API,https://gdit.wd5.myworkdayjobs.com/External_Career_Site/job/Any-Location--Remote/Data-Engineer---Federal-Civilian-Health_RQ203113
Data Engineer,ROR Partners Inc,Data Engineer,United States,Colorado,49894,USD,Anual,,Active Jobs,API,https://recruiting.paylocity.com/Recruiting/Jobs/Details/3409437
Data Engineer - Business Intelligence,SchoolAI,Data Engineer,United States,Utah,22932,USD,Anual,SALARIED_FT,Active Jobs,API,https://ats.rippling.com/schoolai/jobs/a8fd42a2-47f5-4054-924c-b04ba8258ee5
Senior AI Data Engineer,TWG Global,Data Engineer,United States,California,21123,USD,Anual,FULL_TIME,Active Jobs,API,https://jobs.workable.com/view/gMJzYVNzDzXFJ3A4oUCJF9/hybrid-senior-ai-data-engineer-in-santa-monica-at-twg-global
